id,prefecture_ja,prefecture_en,municipality_ja,municipality_en,url,wayback_save_url,enabled,min_interval_days,batch_size_assumption,source_reference,notes
1,北海道,Hokkaido,,,https://www.pref.hokkaido.lg.jp/,https://web.archive.org/save/https://www.pref.hokkaido.lg.jp/,TRUE,7,3_urls_per_15min,https://github.com/code4fukui/localgovjp,prefecture_row_added
2,北海道,Hokkaido,札幌市,Sapporo-shi,https://www.city.sapporo.jp/,https://web.archive.org/save/https://www.city.sapporo.jp/,TRUE,7,3_urls_per_15min,https://github.com/code4fukui/localgovjp,
3,北海道,Hokkaido,函館市,Hakodate-shi,https://www.city.hakodate.hokkaido.jp/,https://web.archive.org/save/https://www.city.hakodate.hokkaido.jp/,TRUE,7,3_urls_per_15min,https://github.com/code4fukui/localgovjp,
4,北海道,Hokkaido,小樽市,Otaru-shi,https://www.city.otaru.lg.jp/,https://web.archive.org/save/https://www.city.otaru.lg.jp/,TRUE,7,3_urls_per_15min,https://github.com/code4fukui/localgovjp,
5,北海道,Hokkaido,旭川市,Asahikawa-shi,https://www.city.asahikawa.hokkaido.jp/,https://web.archive.org/save/https://www.city.asahikawa.hokkaido.jp/,TRUE,7,3_urls_per_15min,https://github.com/code4fukui/localgovjp,
6,北海道,Hokkaido,室蘭市,Muroran-shi,https://www.city.muroran.lg.jp/,https://web.archive.org/save/https://www.city.muroran.lg.jp/,TRUE,7,3_urls_per_15min,https://github.com/code4fukui/localgovjp,
7,北海道,Hokkaido,釧路市,Kushiro-shi,https://www.city.kushiro.lg.jp/,https://web.archive.org/save/https://www.city.kushiro.lg.jp/,TRUE,7,3_urls_per_15min,https://github.com/code4fukui/localgovjp,
8,北海道,Hokkaido,帯広市,Obihiro-shi,https://www.city.obihiro.hokkaido.jp/,https://web.archive.org/save/https://www.city.obihiro.hokkaido.jp/,TRUE,7,3_urls_per_15min,https://github.com/code4fukui/localgovjp,
9,北海道,Hokkaido,北見市,Kitami-shi,https://www.city.kitami.lg.jp/,https://web.archive.org/save/https://www.city.kitami.lg.jp/,TRUE,7,3_urls_per_15min,https://github.com/code4fukui/localgovjp,
10,北海道,Hokkaido,夕張市,Yubari-shi,https://www.city.yubari.lg.jp/,https://web.archive.org/save/https://www.city.yubari.lg.jp/,TRUE,7,3_urls_per_15min,https://github.com/code4fukui/localgovjp,
11,北海道,Hokkaido,岩見沢市,Iwamizawa-shi,https://www.city.iwamizawa.hokkaido.jp/,https://web.archive.org/save/https://www.city.iwamizawa.hokkaido.jp/,TRUE,7,3_urls_per_15min,https://github.com/code4fukui/localgovjp,
12,北海道,Hokkaido,網走市,Abashiri-shi,https://www.city.abashiri.hokkaido.jp/,https://web.archive.org/save/https://www.city.abashiri.hokkaido.jp/,TRUE,7,3_urls_per_15min,https://github.com/code4fukui/localgovjp,
13,北海道,Hokkaido,留萌市,Rumoi-shi,https://www.e-rumoi.jp/,https://web.archive.org/save/https://www.e-rumoi.jp/,TRUE,7,3_urls_per_15min,https://github.com/code4fukui/localgovjp,
14,北海道,Hokkaido,苫小牧市,Tomakomai-shi,https://www.city.tomakomai.hokkaido.jp/,https://web.archive.org/save/https://www.city.tomakomai.hokkaido.jp/,TRUE,7,3_urls_per_15min,https://github.com/code4fukui/localgovjp,
15,北海道,Hokkaido,稚内市,Wakkanai-shi,https://www.city.wakkanai.hokkaido.jp/,https://web.archive.org/save/https://www.city.wakkanai.hokkaido.jp/,TRUE,7,3_urls_per_15min,https://github.com/code4fukui/localgovjp,
16,北海道,Hokkaido,美唄市,Bibai-shi,https://www.city.bibai.hokkaido.jp/,https://web.archive.org/save/https://www.city.bibai.hokkaido.jp/,TRUE,7,3_urls_per_15min,https://github.com/code4fukui/localgovjp,
17,北海道,Hokkaido,芦別市,Ashibetsu-shi,https://www.city.ashibetsu.hokkaido.jp/,https://web.archive.org/save/https://www.city.ashibetsu.hokkaido.jp/,TRUE,7,3_urls_per_15min,https://github.com/code4fukui/localgovjp,
18,北海道,Hokkaido,江別市,Ebetsu-shi,https://www.city.ebetsu.hokkaido.jp/,https://web.archive.org/save/https://www.city.ebetsu.hokkaido.jp/,TRUE,7,3_urls_per_15min,https://github.com/code4fukui/localgovjp,
19,北海道,Hokkaido,赤平市,Akabira-shi,https://www.city.akabira.hokkaido.jp/,https://web.archive.org/save/https://www.city.akabira.hokkaido.jp/,TRUE,7,3_urls_per_15min,https://github.com/code4fukui/localgovjp,
20,北海道,Hokkaido,紋別市,Mombetsu-shi,https://mombetsu.jp/,https://web.archive.org/save/https://mombetsu.jp/,TRUE,7,3_urls_per_15min,https://github.com/code4fukui/localgovjp,
21,北海道,Hokkaido,士別市,Shibetsu-shi,https://www.city.shibetsu.lg.jp/,https://web.archive.org/save/https://www.city.shibetsu.lg.jp/,TRUE,7,3_urls_per_15min,https://github.com/code4fukui/localgovjp,url_normalized_from_source:https://www.city.shibetsu.lg.jp/www/index.html
22,北海道,Hokkaido,名寄市,Nayoro-shi,https://www.city.nayoro.lg.jp/,https://web.archive.org/save/https://www.city.nayoro.lg.jp/,TRUE,7,3_urls_per_15min,https://github.com/code4fukui/localgovjp,url_normalized_from_source:http://www.city.nayoro.lg.jp/
23,北海道,Hokkaido,三笠市,Mikasa-shi,https://www.city.mikasa.hokkaido.jp/,https://web.archive.org/save/https://www.city.mikasa.hokkaido.jp/,TRUE,7,3_urls_per_15min,https://github.com/code4fukui/localgovjp,
24,北海道,Hokkaido,根室市,Nemuro-shi,https://www.city.nemuro.hokkaido.jp/,https://web.archive.org/save/https://www.city.nemuro.hokkaido.jp/,TRUE,7,3_urls_per_15min,https://github.com/code4fukui/localgovjp,
25,北海道,Hokkaido,千歳市,Chitose-shi,https://www.city.chitose.lg.jp/,https://web.archive.org/save/https://www.city.chitose.lg.jp/,TRUE,7,3_urls_per_15min,https://github.com/code4fukui/localgovjp,url_updated_from_previous:https://www.city.chitose.hokkaido.jp/index_chitose.html; url_normalized_from_source:https://www.city.chitose.lg.jp
26,北海道,Hokkaido,滝川市,Takikawa-shi,https://www.city.takikawa.lg.jp/,https://web.archive.org/save/https://www.city.takikawa.lg.jp/,TRUE,7,3_urls_per_15min,https://github.com/code4fukui/localgovjp,url_updated_from_previous:https://www.city.takikawa.hokkaido.jp/
